Freq/Type,L5,L4,L3,L2,L1,A,B,R1,R2,R3,R4,R5
,ས་,ཡི་,སྟེང་,ན་,འཇིགས་,འཕགས་པ་དརྐོན་མཆོག་འབྱུང་གནས་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ།_།_,,མེད་,གོམ་,པ་,འདོར,
,གཞལ་,དུ་,མེད,།,_,འཕགས་པ་དརྐོན་མཆོག་འབྱུང་གནས་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ།_།_,,བརྗོད་,དུ་,མེད་,པ་,
,ཕ་,རོལ་,ཏུ་,ཕྱིན་,པ་,འཕགས་པ་དརྐོན་མཆོག་འབྱུང་གནས་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ།_།_,,ཇི་,ལྟར་,ཡོངས་,སུ་,
,།,_,།,བཟོད་,ལ་,འཕགས་པ་དརྐོན་མཆོག་འབྱུང་གནས་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ།_།_,,བསྟེན་,པས་,མཚན་,བཟང་,
,པ་,སྟེ,།,_,དེ་,འཕགས་པ་དརྐོན་མཆོག་འབྱུང་གནས་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ།_།_,,ནི་,–[252b.2],ཆོས་,ཐམས་,
,མཁྱེན་,པ,།,_,སྐྱེས་,འཕགས་པ་དརྐོན་མཆོག་འབྱུང་གནས་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ།_།_,,བུ་,འདུལ་,བའི་,ཁ་,
,ན་,མེད་,པ་,ཡང་,དག་,འཕགས་པ་དརྐོན་མཆོག་འབྱུང་གནས་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ།_།_,,པར་,རྫོགས་,པའི་,བྱང་,
,སྤྱོད་,པ་,ན་,ལུས་,དང་,འཕགས་པ་དརྐོན་མཆོག་འབྱུང་གནས་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ།_།_,,སེམས་,གཉིས་,ཡང་,དག་,
,།,_,ལྷ་,དང་,མི་,འཕགས་པ་དརྐོན་མཆོག་འབྱུང་གནས་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ།_།_,,རྣམས་,ཀྱི་,སྟོན་,པ,
,བཅོམ་,ལྡན་,–[274b]–[274b.1],འདས་,ཕྱིན་,འཕགས་པ་དརྐོན་མཆོག་འབྱུང་གནས་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ།_།_,,ཅི་,ལོག་,ཅེས་,བགྱི་,
,པར་,ཤེས་,པ་,ཡང་,འདི་,འཕགས་པ་དརྐོན་མཆོག་འབྱུང་གནས་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ།_།_,,ལྟར་,ཀུན་,རྫོབ་ཙམ་,སྟེ,
,།,འདི་,ལ་མཛངས་,པ་,མ་,འཕགས་པ་དརྐོན་མཆོག་འབྱུང་གནས་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ།_།_,,ལགས་,འགྲོ་,བ་,རྣམས་,
,པ་,འདས་,པའི་,དུས་,ན་,འཕགས་པ་དརྐོན་མཆོག་འབྱུང་གནས་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ།_།_,,བསྐལ་,པ་,དཔག་,ཏུ་,
,ལོ,།,_,།,དགེ་,འཕགས་པ་དརྐོན་མཆོག་འབྱུང་གནས་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ།_།_,,སློང་,དང་,།,_,
18: -འཕགས་པ་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ཆེན་པོ་ཐེག་པ་ཆེན་པོའི་མདོ།_།།_,,,,,,,,,,,,
,པ་,ལྷ་,རྣམས་,ཀྱིས་,ས་,འཕགས་པ་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ཆེན་པོ་ཐེག་པ་ཆེན་པོའི་མདོ།_།།_,,གཞི་,དེ་,ལྟ་,བུར་,
,_,།,སེམས་,ཅན་,དེར་,འཕགས་པ་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ཆེན་པོ་ཐེག་པ་ཆེན་པོའི་མདོ།_།།_,,ལྷགས་,པ་,ཐམས་,ཅད་,
,དགེ་,སློང་,རྣམས་,ལ་,བཀའ་,འཕགས་པ་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ཆེན་པོ་ཐེག་པ་ཆེན་པོའི་མདོ།_།།_,,སྩལ་,པ,།,_,
,རྨོས་,ཆེར་,བཏབ་,སྟེ་,རྩ་,འཕགས་པ་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ཆེན་པོ་ཐེག་པ་ཆེན་པོའི་མདོ།_།།_,,བ་,འཛིངས་,པ་,ཐམས་,
,དང་,།,_,བདག་,མེད་,འཕགས་པ་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ཆེན་པོ་ཐེག་པ་ཆེན་པོའི་མདོ།_།།_,,པའི་,འདུ་,ཤེས་,བསྒོམས་,
,ལྟ་,བུར་,བསྟན་,པ་,དེ་,འཕགས་པ་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ཆེན་པོ་ཐེག་པ་ཆེན་པོའི་མདོ།_།།_,,ཡང་,འཇིག་,རྟེན་,ངེས་,
,_,ཏིལ་,མར་,ཟད་,ནས་,འཕགས་པ་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ཆེན་པོ་ཐེག་པ་ཆེན་པོའི་མདོ།_།།_,,མར་,མེ་,ཟད་,པར་,
,འདས་,དེ་,ནི་,མ་,ལགས་,འཕགས་པ་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ཆེན་པོ་ཐེག་པ་ཆེན་པོའི་མདོ།_།།_,,ཏེ,།,_,བུའི་,
,དགྲ་,བཅོམ་,པ་,ཡང་,དག་,འཕགས་པ་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ཆེན་པོ་ཐེག་པ་ཆེན་པོའི་མདོ།_།།_,,པར་,རྫོགས་,པའི་,སངས་,
,།,_,རིགས་,ཀྱི་,བུ་,འཕགས་པ་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ཆེན་པོ་ཐེག་པ་ཆེན་པོའི་མདོ།_།།_,,ལེགས་,སོ་,ལེགས་,སོ,
,ན་,ཉིད་,བདག་,གིས་,མ་,འཕགས་པ་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ཆེན་པོ་ཐེག་པ་ཆེན་པོའི་མདོ།_།།_,,ཤེས་,པས་,དམ་,པའི་,
,ཀྱང་,དེ་,དྲི་,བསུང་,གིས་,འཕགས་པ་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ཆེན་པོ་ཐེག་པ་ཆེན་པོའི་མདོ།_།།_,,མངོན་,ཏེ,།,_,
,པ་,ལ་,མི་,མི་,མིག་,འཕགས་པ་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ཆེན་པོ་ཐེག་པ་ཆེན་པོའི་མདོ།_།།_,,ཡོད་,པ་,དག་,གིས་,
,ཚིག་,གོ,།,_,།,འཕགས་པ་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ཆེན་པོ་ཐེག་པ་ཆེན་པོའི་མདོ།_།།_,,ཡང་,ཨ་,ཞེས་,བྱ་,
,།,དེ་,ལ་,བྱིས་,པ་,འཕགས་པ་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ཆེན་པོ་ཐེག་པ་ཆེན་པོའི་མདོ།_།།_,,ཁ་,ཅིག་,གིས་,ནི་,
,།,གང་,གི་,ཚེ་,སེམས་,འཕགས་པ་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ཆེན་པོ་ཐེག་པ་ཆེན་པོའི་མདོ།_།།_,,ཅན་,ཐམས་,ཅད་,སེམས་,
,སྡེ་,ཐོས་,ནས་,ཉོན་,མོངས་,འཕགས་པ་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ཆེན་པོ་ཐེག་པ་ཆེན་པོའི་མདོ།_།།_,,པའི་,རྣམ་,པ་,ཟད་,
,ཁྲིམས་,དང་,ཆོ་,ག་,དང་,འཕགས་པ་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ཆེན་པོ་ཐེག་པ་ཆེན་པོའི་མདོ།_།།_,,ལྡན་,པ་,དང་,།,
17: -དཀོནོ+དཀོན་ནོ,,,,,,,,,,,,
,འབྱུང་,བ་,ནི་,ཤིན་,ཏུ་,དཀོནོ,དཀོན་ནོ,།,_,།,དེ་,
,སུམ་,ཚོགས་,པ་,ནི་,ཆེས་,དཀོནོ,དཀོན་ནོ,།,_,།,ཀྱེ་,
,ཏོག་,བཞིན་,དུ་,ཤིན་,ཏུ་,དཀོནོ,དཀོན་ནོ,།,_,།,ང་,
,པར་,བགྱིས་,པ་,ཡོད་,པ་,དཀོནོ,དཀོན་ནོ,།,_,།,སངས་,
,ནི་,ཆེས་,ཀྱིས་,ཡོད་,པ་,དཀོནོ,དཀོན་ནོ,།,_,།,ཅིའི་,
,བ་,ནི་,ཕྱེད་,ཀྱིས་,ཡོད་,དཀོནོ,དཀོན་ནོ,།,_,།,ཤཱ་,
,པ་,ནི་,ཕྱེད་,ཀྱིས་,ཡོད་,དཀོནོ,དཀོན་ནོ,།,_,།,ཤཱ་,
,བྱས་,པ་,ཕྱེད་,ཀྱིས་,ཡོད་,དཀོནོ,དཀོན་ནོ,།,_,།,ཤཱ་,
,བྱས་,པ་,ཕྱེད་,ཀྱིས་,ཡོད་,དཀོནོ,དཀོན་ནོ,།,_,།,ཤཱ་,
,པར་,བྱས་,པ་,ཕྱེད་,ཀྱིས་,དཀོནོ,དཀོན་ནོ,།,_,།,ཤཱ་,
,པར་,བྱས་,པ་,ཕྱེད་,ཀྱིས་,དཀོནོ,དཀོན་ནོ,།,_,།,ཤཱ་,
,པ་,ནི་,ཕྱེད་,ཀྱིས་,ཡོད་,དཀོནོ,དཀོན་ནོ,།,_,།,ཤཱ་,
,བྱས་,ན་,ཕྱེད་,ཀྱིས་,ཡོད་,དཀོནོ,དཀོན་ནོ,།,_,།,ཤཱ་,
,བྱས་,པ་,ཕྱེད་,ཀྱིས་,ཡོད་,དཀོནོ,དཀོན་ནོ,།,_,།,ཤཱ་,
,བྱས་,པ་,ཕྱེད་,ཀྱིས་,ཡོད་,དཀོནོ,དཀོན་ནོ,།,_,།,ཤཱ་,
,མཚར་,བར་,མངོན་,ཏེ་,ཡོད་,དཀོནོ,དཀོན་ནོ,།,_,།,དེ་,
,པ་,ན་,ཕྱེད་,ཀྱིས་,ཡོད་,དཀོནོ,དཀོན་ནོ,།,_,།,ལེའུ་,
17: -ཆིག་+ཚིག་,,,,,,,,,,,,
,དང་,།,_,དགོངས་,པའི་,ཆིག་,ཚིག་,དང་,མཉམ་,དུ་,འགྲོ་,
,།,_,།,བདུད་,ཀྱི་,ཆིག་,ཚིག་,ཀྱང་,འཚལ་,བ་,དང་,
,བཅོམ་,–[44b.3],ལྡན་,འདས་,ཀྱིས་,ཆིག་,ཚིག་,འདི་,ཇི་,ལྟ་,བུ་,
,བཟོད་,པའི་,ཕྱིར་ང་,དགོངས་,པའི་,ཆིག་,ཚིག་,མི་,སྟོན་,ཏེ,།,
,ཟག་,བཞི་,པོ་,དགོངས་,པའི་,ཆིག་,ཚིག་,ལ་,མཁས་,པ་,དང་,
,ཀྱི་,བུ་,ཁྱོད་,དགོངས་,པའི་,ཆིག་,ཚིག་,འདི་,ཤེས་,པར་,འདོད་,
,མི་,དང་,དུད་,འགྲོའི་,ལྕེ་,ཆིག་,ཚིག་,པ་,རྣམས་,ཀྱིས་,རོ་,
,བཞིན་,དུ་,ཆོས་,སྟོན་,ཅིང་,ཆིག་,ཚིག་,གཅིག་,གིས་,སེམས་,ཅན་,
,_,ཆོས་,འདིའི་,ནང་,ན་,ཆིག་,ཚིག་,གིས་,–[163b.5],བཤད་,པ་,
,སྟེ,།,_,སྨྲ་,བའི་,ཆིག་,ཚིག་,གི་,ལམ་,ཆད་,ཅིང་,
,ཐོབ་,བོ་,ཞེས་,བྱ་,སྟེ་,ཆིག་,ཚིག་,འབྲུ་,མ་,རིག,_,
,ཏུ་,མྱ་,ངན་,འཁྲུགས་,ཏེ་,ཆིག་,ཚིག་,འདི་,སྐད་,འཛེར་,ཏོ,
,འདུག་,ཅིང་,གྱེས་,འཁྲུགས་,པའི་,ཆིག་,ཚིག་,མང་,པོ་,ལ་,སྲེད,
,ཅེས་,ཟེར་,ན་,བརྫུན་,གྱི་,ཆིག་,ཚིག་,ཡིན་,ཏེ,།,_,
,།,_,།,ཕྲ་,མའི་,ཆིག་,ཚིག་,ཀྱང་,སྤང་,བར་,བྱ་,
,དང་,དེ་,དག་,ངེས་,པའི་,ཆིག་,ཚིག་,དེ་,དག་,ལ་,མོས་,
,གཉིས་,སུ་,མ་,མཆིས་,པའི་,ཆིག་,ཚིག་,བླ་,དགས་,ལགས་,སོ,
17: +།,,,,,,,,,,,,
,ག་,ལ་,འགྱུར,།,_,,།,འཇིག་,པ་,དང་,།,
,བཀའ་,སྩལ་,པ,།,_,,།,འོད་,སྲུང་,ཆེན་,པོ་,
,སུ་,དྲན་,པར་,གྱིས་,ཤིག,,།,_,།།,_།།_,བམ་,
,དོན་,མང་,པོ་,ཡོད་,པས,,།,_,གང་,གི་,ཚེ་,
,བཀའ་,སྩལ་,ཏེ,།,_,,།,ཆུ་,ཀླུང་,གྱ་,གྱུར་,
,དམྱལ་,བ་,དང་,།,_,,།,དུད་,འགྲོ་,དང་,།,
,མུག་,པ་,ཅིག་,ཡོད་,པས,,།,_,སྤྲེའུ་,ངོ་,མ་,
,སེམས་,གཅིག་,ཏུ་,མ་,འཐུན,,།,_,གདོང་,ལ་,ཁྲོ་,
,པའི་,དགེ་,སློང་,ཡོད་,པས,,།,_,དགེ་,སློང་,འདི་,
,པ་,མང་,དུ་,ཡོད་,པས,,།,_,བདུད་,དང་,བདུད་,
,ཀྱི་,ཡི་,གེ,།,_,,།,བམ་,པོ་,གསུམ་,པ,
,དུ་,ཡོད་,ན,།,_,,།,སངས་,རྒྱས་,–[187a.7],ཀྱིས་,
,འདི་,བཤད་,པ,།,_,,།,མ་,འོངས་,དོན་,ནི་,
,པ་,–[214b.3],སྟེ,།,_,,།,འཇམ་,དཔལ་,གང་,དེ་,
,པ་,ཡོངས་,སུ་,དག་,ན,,།,_,བཟོད་,པའི་,ཕ་,
,འདས་,པ་,དང་,།,_,,།,དེ་,སྒྲིབ་,པ་,མེད་,
,ལམ་,དེ་,ཡིས,།,_,,།,ཞི་,བ་,སངས་,རྒྱས་,
16: -བཅོམ་+བ་ཙམ་,,,,,,,,,,,,
,རྟེན་,དང་,འཐུན་,པར་,བྱ་,བཅོམ་,བ་ཙམ་,དུ་,ཟད་,དོ,།,
,རྟེན་,དང་,འཐུན་,པར་,བྱ་,བཅོམ་,བ་ཙམ་,དུ་,–[61b.2],ཟད་,དེ,
,དང་,འཐུན་,པའི་,–[61b.4],བྱ་,བཅོམ་,བ་ཙམ་,དུ་,ཟད་,དོ,།,
,རྟེན་,དང་,འཐུན་,པར་,བྱ་,བཅོམ་,བ་ཙམ་,དུ་,ཟད་,དོ,།,
,རྟེན་,དང་,འཐུན་,པར་,བྱ་,བཅོམ་,བ་ཙམ་,དུ་,ཟད་,པར་,ཁོང་,
,རྟེན་,དང་,འཐུན་,པར་,བྱ་,བཅོམ་,བ་ཙམ་,དུ་,ཟད་,དོ,།,
,རྟེན་,དང་,འཐུན་,པར་,བྱ་,བཅོམ་,བ་ཙམ་,དུ་,ཟད་,དོ,།,
,རྟེན་,དང་,འཐུན་,པར་,བྱ་,བཅོམ་,བ་ཙམ་,དུ་,ཟད་,དོ,།,
,རྟེན་,དང་,འཐུན་,པར་,བྱ་,བཅོམ་,བ་ཙམ་,དུ་,ཟད་,དོ,།,
,རྟེན་,དང་,འཐུན་,པར་,བྱ་,བཅོམ་,བ་ཙམ་,དུ་,ཟད་,དོ,།,
,རྟེན་,དང་,འཐུན་,པར་,བྱ་,བཅོམ་,བ་ཙམ་,དུ་,ཟད་,དོ,།,
,རྟེན་,དང་,འཐུན་,པར་,བྱ་,བཅོམ་,བ་ཙམ་,དུ་,ཟད་,དོ,།,
,རྟེན་,དང་,འཐུན་,པར་,བྱ་,བཅོམ་,བ་ཙམ་,དུ་,ཟད་,དོ,།,
,རྟེན་,དང་,འཐུན་,པར་,བྱ་,བཅོམ་,བ་ཙམ་,དུ་,ཟད་,དོ,།,
,རྟེན་,དང་,འཐུན་,པར་,བྱ་,བཅོམ་,བ་ཙམ་,དུ་,ཟད་,དོ,།,
,པོ་,ནས་,དེའི་,དྲི་,ཚོར་,བཅོམ་,བ་ཙམ་,གྱིས་,–[72a.2]ཁར་བ་,རིན་,པོ་,
15: +_,,,,,,,,,,,,
,བྱེད་,པ་,བྱས་,པ,།,,_,ཅང་,ཤེས་,པ,།,
,–[4b.3],གི་,མཆོག་,དང་,།,,_,ཙན་,དན་,ས་,མཆོག་,
,དེ་,དང་,འདྲ་,སྟེ,།,,_,སེམས་,ཅན་,ཐམས་,ཅད་,
,པོ་,ཡང་,རུང་,སྟེ,།,,_,རྩྭ་,ཙམ་,དུ་,ལྟོས་,
,སོང་,བ་,ཡིན་,ནམ,།,,_,གསོལ་,པ,།,_,
,།,_,གསོལ་,པ,།,,_,བཅོམ་,ལྡན་,འདས་,དེ་,
,ཀྱི་,ཆོས་,ཀྱི་,ཡི་,གེ,,_,།,_,བམ་,–[153b.2],
,བུ་,བག་,ལ་,འབོ་,ཀ,,_,།,སྲིན་,བུ་,འབྱིན་,
,སྲིན་,བུ་,འབྱིན་,རྩེའུ་ཛ་,ཀ,,_,།,སྲིན་,བུ་,ཇི་,
,ཡིད་,མི་,ཆེས་,ཏེ,།,,_,སངས་,རྒྱས་,ཀྱི་,ཚིག་,
,བམ་,པོ་,བཞི་,པ,།,,_,སངས་,རྒྱས་,ཀྱི་,མཛོད་,
,པོ་,འཛིས་,པ་,དང་,།,,_,ཅལ་,ཅོལ་,གྱི་,ཚིག་,
,ཡོན་,ལེན་,པ་,གནང་,གི,,_,།,_,མི་,གཞན་,
,བྱ་,བ་,བསྒོམས་,ཏེ,།,,_,རབ་,ཏུ་,གོམས་,པར་,
,ཁམས་,ཡོད་,–[288a.6],དེ,།,,_,དེ་,ན་ང་,ལ་,སེམས་,
15: -ཆེ་+ཚེ་,,,,,,,,,,,,
,_,།,གཞན་,ཡང་,དེའི་,ཆེ་,ཚེ་,ཆར་,པ་,འབེབས་,པའི་,
,_,།,གཞན་,ཡང་,དེའི་,ཆེ་,ཚེ་,བྱ་,–[13a.5],ངང་,པ་,
,སློང་,–[96b.7],དེ་,ན་,རེ་,ཆེ་,ཚེ་,དང་,ལྡན་,པ་,བདག་,
,ནི,།,_,།,དེ་,ཆེ་,ཚེ་,དེ་,ཡི་,སྐྱབས་,མ་,
,གོ,།,_,།,དེའི་,ཆེ་,ཚེ་,ལེ་,ལོ་,ཡར་,སྐྱེ་,
,བྱས་,ནས་,བདུད་ངན་,པས་,དེའི་,ཆེ་,ཚེ་,ཕལ་,དངངས་བསླད་,དེ་,དགེ་,
,_,ངས་,སངས་རྒྱས་ཀྱི་མརྗད་ཀྱི་ཆོས་ཀྱི་ཡ་གི།_,ལུས་,ཀྱི་,ཆེ་,ཚེ་,ཟད་,ཀྱི་,བར་,དུ་,
,_,ཤཱ་,རིའི་,བུ་,དེའི་,ཆེ་,ཚེ་,ཚུལ་,ཁྲིམས་,ལུགས་,འཛིན་,
,དགའ་,བོ་,དེ་,ཙམ་,གྱི་,ཆེ་,ཚེ་,ན་,འཛམ་,བུའི་,གླིང་,
,།,_,།,དེ་,ཡི་,ཆེ་,ཚེ་,དང་,སྲོག་,ལ་,གནོད,
,དཔལ་,ངས་,–[215a.3],གང་,གི་,ཆེ་,ཚེ་,འཇིག་,རྟེན་,གྱི་,ཁམས་,
,མྱ་,ངན་,ལས་,འདས་,པའི་,ཆེ་,ཚེ་,ལྟས་,གང་,བྱུང་,བ་,
,གྱིས་,བཞུད་,པ་,དེ་,དེའི་,ཆེ་,ཚེ་,དེའི་,དུས་,ན་,དགེ་,
,དུ་,སེམས,།,_,དེའི་,ཆེ་,ཚེ་,དེའི་,དུས་,ན་,དགེ་,
,དཔོན་,བཟང་,པོ་,དེ་,དེའི་,ཆེ་,ཚེ་,དེའི་,དུས་,ན་,རིགས་,
15: -བ་དག་+བདག་,,,,,,,,,,,,
,ཅད་,ལྷགས་,ཏེ་,གུས་,པར་,བ་དག་,བདག་,ལ་,མཆོད,།,_,
,རྣམས་,ཚར་,གཅད་,པའི་,ཕྱིར་,བ་དག་,བདག་,མེད་,དོ,།,_,
,ངེས་,པར་,བསྒྲལ་,བའི་,ཕྱིར་,བ་དག་,བདག་,ཉིད་,ཁམས་,བཞི་,པོ་,
,ནད་,བསལ་,བའི་,–[64b.7],ཕྱིར་,བ་དག་,བདག་,ཉིད་,སྨན་,དང་,ཤིང་,
,བུ་,ལ་,བྱམས་,པའི་,ཕྱིར་,བ་དག་,བདག་,ཉིད་,ཀྱིས་,བསྒྲིམས་,ཏེ་,
,གིས་,སྐྱེས་,པ་,ལྟ་,བུར་,བ་དག་,བདག་,ཉིད་,ཀྱིས་,–[92b.4],བསྟན་,
,ཐོབ་,པ་,མ་,ཡིན་,པར་,བ་དག་,བདག་,ཉིད་,ཀྱིས་,ཤེས་,སོ་,
,།,_,།,དེ་,ཕྱིར་,བ་དག་,བདག་,ཀྱང་,སངས་,རྒྱས་,རྣམས་,
,ཀྱི་,མཆོད་,རྟེན་,ལྟ་,བུར་,བ་དག་,བདག་,གྱུར་,ཅིག,_,།,
,ལ་,སྙིང་,བརྩེ་,བའི་,ཕྱིར་,བ་དག་,བདག་,དང་,འདྲ་,བར་,བལྟའོ,
,_,།,ཡང་,དག་,པར་,བ་དག་,བདག་,ཏུ་,ལྟ་,བ་,དང་,
,མུག་,གིས་,དེ་,ལྟ་,བུར་,བ་དག་,བདག་,ཏུ་,ལྟ་,བ་,དང་,
,ཤཱ་,རིའི་,བུ་,བདེན་,པར་,བ་དག་,བདག་,ཏུ་,ལྟ་,བ་,ཡིན,
,_,།,དོན་,དམ་,པར་,བ་དག་,བདག་,ཉིད་,མ་དམིགས་,པས་,འགྱོད་,
,།,_,།,སྟོང་,པར་,བ་དག་,བདག་,ནི་,གཞན་,དྲིང་,གི་,
14: -ད་ག+དག,,,,,,,,,,,,
,ནི་,ཞལ་,ཟས་,བཟང་,པོ་,ད་ག,དག,_,།,ཕུལ་,ཡང་,
,ཉི་,མའང་ས་,ལ་,ལྟུང་,ཡང་,ད་ག,དག,_,།,རྒྱ་,མཚོ་,
,རྟེན་,བྱང་,ཆུབ་,སེམས་,དཔའ་,ད་ག,དག,_,།,_,ནམ་,
,རྟེན་,བྱང་,ཆུབ་,སེམས་,དཔའ་,ད་ག,དག,_,།,མ་,ཡི་,
,རྟེན་,བྱང་,ཆུབ་,སེམས་,དཔའ་,ད་ག,དག,_,།,བདུད་,ཀྱི་,
,ཡས་,སངས་,རྒྱས་,ཞིང་,ཡང་,ད་ག,དག,_,།,རྒྱལ་,བ་,
,ཀྱང་,བསམ་,མི་,ཁྱབ་,པར་,ད་ག,དག,_,།,དེ་,ཕྱིར་,
,སྲས་,སྤྱད་,པ་,སྤྱོད་,པ་,ད་ག,དག,_,།,འགྲོ་,–[231a.2],
,བཅུ་,ཤིན་,ཏུ་,མང་,པོ་,ད་ག,དག,_,།,འཁོར་,ལོ་,
,མང་,ཡིད་,དུ་,འོང་,བ་,ད་ག,དག,_,།,བདེ་,བར་,
,ཀྱི་,བཅྭ་,བརྒྱད་,ཆོས་,གང་,ད་ག,དག,_,།,རྒྱལ་,བའི་,
,བའི་,རིགས་,རྣམས་,འཛིན་,པ་,ད་ག,དག,_,།,བདེ་,གཤེགས་,
,སྲོང་,ཆེན་,པོར་,འགྱུར་,བ་,ད་ག,དག,_,།,ཚུལ་,–[280b.7],
,ཆུབ་,སེམས་,ཉིད་,རྣམ་,པར་,ད་ག,དག,_,།,བདག་,དང་,
13: -ན་+ན།_,,,,,,,,,,,,
,དང་,ཉེ་,བར་,གྱུར་,པ་,ན་,ན།_,སེམས་,ཅན་,ཐམས་,ཅད་,
,མེད་,པ་,སྙེད་,འདས་,པ་,ན་,ན།_,འཇིག་,རྟེན་,གྱི་,ཁམས་,
,དང་,པོ་,ཉོན་,མོངས་,པ་,ན་,ན།_,ལ་,ལ་,–[29a.2],ཞིག་,
,ཏུ་,ཡིབ་,སྟེ་,ཉན་,པ་,ན་,ན།_,ཅིའི་,སླད་,དུ་,བཅོམ་,
,འདུ་,ཤེས་,མི་,བསམ་,པ་,ན་,ན།_,མི་,དེས་,ཆོས་,སོ་,
,གྲངས་,མེད་,པ་,འདས་,པ་,ན་,ན།_,སངས་,རྒྱས་,བྱེད་,པ་,
,དཔའི་,སྤྱད་,པ་,སྤྱོད་,པ་,ན་,ན།_,བྱང་,ཆུབ་,སེམས་,དཔའི་,
,དཔའི་,སྤྱོད་,པ་,སྤྱོད་,པ་,ན་,ན།_,བརྩོན་,འགྲུས་,ཀྱི་,ཕ་,
,དཔའི་,སྤྱད་,པ་,སྤྱོད་,པ་,ན་,ན།_,བྱང་,ཆུབ་,སེམས་,དཔའི་,
,།,དེ་,ཅིའི་,ཕྱིར་,ཞེ་,ན་,ན།_,དེ་,བཞིན་,གཤེགས་,པ་,
,ཉིད་,འདི་,ལ་,སློབ་,པ་,ན་,ན།_,ཡེ་,–[286a.7],ཤེས་,ཇི་,
,ཞིང་,དྲུག་,ཅུ་,འདས་,པ་,ན་,ན།_,དགེ་,བ་,བསགས་,ཞེས་,
,རྒྱས་,ཀྱི་,ཞིང་,འདས་,པ་,ན་,ན།_,ཚེ་,མཉམ་,ཞེས་,བྱ་,
13: -གིས་ངས་+གི་སངས་,,,,,,,,,,,,
,དཔའ་,ཆེན་,པོས་,ཅི་,བདག་,གིས་ངས་,གི་སངས་,རྒྱས་,ཀྱི་,ཞིང་,དཔག་,
,དཔའ་,ཆེན་,པོ་,ཅི་,བདག་,གིས་ངས་,གི་སངས་,རྒྱས་,ཀྱི་,ཞིང་,གྲངས་,
,ཆེན་,པོས་,ཇི་,ལྟར་,བདག་,གིས་ངས་,གི་སངས་,རྒྱས་,ཀྱི་,ཞིང་,དཔག་,
,བོ,།,_,།,བདག་,གིས་ངས་,གི་སངས་,རྒྱས་,ཀྱི་,ཞིང་,གི་,
,_,།,གཞན་,ཡང་,བདག་,གིས་ངས་,གི་སངས་,རྒྱས་,ཀྱི་,ཞིང་,གི་,
,གྱུར་,ཅིག,_,།,བདག་,གིས་ངས་,གི་སངས་,རྒྱས་,ཀྱི་,ཞིང་,ན་,
,ཅིག,_,།,_,བདག་,གིས་ངས་,གི་སངས་,རྒྱས་,ཀྱི་,ཞིང་,ན་,
,གྱུར་,ཅིག,_,།,བདག་,གིས་ངས་,གི་སངས་,རྒྱས་,ཀྱི་,–[267b.2],ཞིང་,
,གྱུར་,ཅིག,_,།,བདག་,གིས་ངས་,གི་སངས་,རྒྱས་,ཀྱི་,ཞིང་,ན་,
,གྱུར་,ཅིག,_,།,བདག་,གིས་ངས་,གི་སངས་,རྒྱས་,ཀྱི་,ཞིང་,དེ་,
,གྱུར་,ཅིག,_,།,བདག་,གིས་ངས་,གི་སངས་,རྒྱས་,ཀྱི་,ཞིང་,དེ་,
