Freq/Type,L5,L4,L3,L2,L1,A,B,R1,R2,R3,R4,R5
,ཡིན་,ནོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,མི་,ལ་,
,གཏོགས་,སོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,སངས་,རྒྱས་,
,མེད་,དོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,སངས་,རྒྱས་,
,མེད་,དོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,གང་,ལ་,
,ཕྱིར་,ཞེ་,ན,།,_,ཤ་,ཤཱ་,རིའི་,བུ་,སྐྱིད་,པ་,
,མེད་,དོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ཡང་,དག་,
,ཞེས་,བྱས་,ན,།,_,ཤ་,ཤཱ་,རིའི་,བུ་,སྟོང་,པའི་,
,ཕྱིར་,ཞེ་,ན,།,_,ཤ་,ཤཱ་,རིའི་,བུ་,འདུ་,ཤེས་,
,ཡིན་,ནོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,སྟོང་,པའི་,
,སྟོང་,པའོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,བྱ་,བ་,
,སྟོང་,པའོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,སྟོང་,པའི་,
,སྟོང་,པའོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ཅིའི་,ཕྱིར་,
,ཞེས་,བྱའོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,འདུ་,ཤེས་,
,ཕྱིར་,ཞེ་,ན,།,_,ཤ་,ཤཱ་,རིའི་,བུ་,འཕྲུལ་,གྱི་,
,བཤད་,དུ་,རུང་,།,_,ཤ་,ཤཱ་,རིའི་,བུ་,སངས་,རྒྱས་,
,རུང་,ངོ་,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,སངས་,རྒྱས་,
,མེད་,དོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ཡང་,དག་,
,ཡོད་,པར་,བཤད,།,_,ཤ་,ཤཱ་,རིའི་,བུ་,ཆོས་,ཀྱི་,
,བཤད་,དོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ཆོས་,སོ་,
,བཤད་,དོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,–[160a.4],སངས་,
,བཤད་,དོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,བསམ་,པའི་,
,ཞེས་,བྱའོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ཇི་,ལྟར་,
,ཞེས་,བྱའོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,སངས་,རྒྱས་,
,ཞེས་,བྱའོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དེའི་,མིང་,
,བསམ་,པའོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,སེམས་,སོ་,
,།།,_,།།,དེའི་,ཚེ་,ཤ་,ཤཱ་,རིའི་,བུས་,སངས་,རྒྱས་,
,གཉེན་,ཞེས་,བགྱི,།,_,ཤ་,ཤཱ་,རིའི་,བུ་,མི་,ལ་,
,ཕྱིར་,ཞེ་,ན,།,_,ཤ་,ཤཱ་,རིའི་,བུ་,བསམ་,པ་,
,ཡིན་,ནོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ཅིའང་,མེད་,
,མེད་,དོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,འདུ་,ཤེས་,
,བསམ་,པའོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,མི་,ལ་,
,ཀྱང་,ཅི་,དགོས,།,_,ཤ་,ཤཱ་,རིའི་,བུ་,དེ་,ལྟ་,
,དོ,།,_,།,ཡང་,ཤ་,ཤཱ་,རིའི་,བུ་,དགེ་,–[162a.3],
,ཀྱང་,ཅི་,དགོས,།,_,ཤ་,ཤཱ་,རིའི་,བུ་,ཁྱོད་,ཀྱི་,
,ནུས་,སོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དཔེར་,སྡོང་,
,འདི་,ལྟ་,སྟེ,།,_,ཤ་,ཤཱ་,རིའི་,བུ་,མི་,ལ་,
,ལགས་,སོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,མི་,ལ་,
,མི་,བྱའོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དེ་,ལྟ་,
,མེད་,དོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,–[162b.2],མི་,
,བྱའོ,།,_,།,ཡང་,ཤ་,ཤཱ་,རིའི་,བུ་,དྲང་,པོ་,
,བཤད་,དོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,སེམས་,ཅན་,
,མངོན་,ནོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,སངས་,རྒྱས་,
,ཕྱིར་,རོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ཐ་,མལ་,
,ནུས་,སོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དེའི་,མིང་,
,ཐར་,རོ,།,_,།,ཤ་,ཤཱ་,རིའི་,–[163a]–[163a.1],བུ་,སངས་,
,ལངས་,སོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,འདི་,སྙམ་,
,ཡིན་,ནོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,འཕྲུལ་,གྱི་,
,པའི་,ལེའུའོ,།།,_,།།,ཤ་,ཤཱ་,རིའི་,བུས་,–[163a.4],སངས་,
,འདུན་,ཞེས་,བགྱི,།,_,ཤ་,ཤཱ་,རིའི་,བུ་,མི་,ལ་,
,བོ,།,_,།,ཡང་,ཤ་,ཤཱ་,རིའི་,བུ་,སེམས་,ཅན་,
,སྟོང་,པའོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དེ་,ལྟ་,
,བཤེས་,གཉེན་ནོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,སྨྲ་,བའི་,
,མངོན་,ནོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,མི་,ལ་,
,ཞིག་,ཡོད་,ན,།,_,ཤ་,ཤཱ་,རིའི་,བུ་,ངའི་,འདིའི་,
,ལགས་,སོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,མི་,ལ་,
,ལགས་,སོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,སྒྱུ་,མ་,
,ཞེས་,བྱའོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,མི་,དགེ་,
,སྐྱེས་,སོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ལྔ་,ཕུང་,
,–[164b.3],བྱའོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ཡོང་,མཐོང་,
,མཐོང་,བའོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དེའི་,མིང་,
,ཞེས་,བྱའོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ངའི་,ཆོས་,
,ཟེར་,རོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ཡང་,དག་,
,རིགས་,སོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ལ་,ལ་,
,ཞེས་,བྱའོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,མི་,ལ་,
,མེད་,པའོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དེའི་,མིང་,
,ཞེས་,བྱའོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ཆོས་,གང་,
,ཕྱིར་,ཞེ་,ན,།,_,ཤ་,ཤཱ་,རིའི་,བུ་,ང་,ཡང་,
,ཐོབ་,པ་,བཤད,།,_,ཤ་,ཤཱ་,རིའི་,བུ་,མི་,ལ་,
,བྱུང་,བའོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ཤེས་,པར་,
,ཀྱང་,ཅི་,དགོས,།,_,ཤ་,ཤཱ་,རིའི་,བུ་,དེ་,ལྟ་,
,ཡིན་,ནོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ལ་,ལ་,
,ཀྱང་,ཅི་,དགོས,།,_,ཤ་,ཤཱ་,རིའི་,བུ་,སངས་,རྒྱས་,
,ཞེས་,བྱའོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ཇི་,ལྟ་,
,ཞེས་,བྱའོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ཚེ་,རབས་,
,ཤེས་,སོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,མི་,དེས་,
,འདི་,ལྟ་,སྟེ,།,_,ཤ་,ཤཱ་,རིའི་,བུ་,ད་,དུང་,
,ཟེར་,ཏོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དེའི་,ནང་,
,བཏང་,ངོ་,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དེ་,ལྟ་,
,མེད་,པ་,བཤད,།,_,ཤ་,ཤཱ་,རིའི་,བུ་,ངའི་,ཆོས་,
,དེ་,ལྟ་,སྟེ,།,_,ཤ་,ཤཱ་,རིའི་,བུ་,ང་,ཆོས་,
,ཟད་,དོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ང་,ཡུན་,
,ཞིགས་,སོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དགེ་,སློང་,
,ཕྱིར་,ཞེ་,ན,།,_,ཤ་,ཤཱ་,རིའི་,བུ་,མི་,ལ་,
,ཅེས་,བྱའོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ངས་,འཇིག་,
,ཡིན་,ནོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,མི་,ལ་,
,ཞིག་,ཡོད་,ན,།,_,ཤ་,ཤཱ་,རིའི་,བུ་,དེ་,ལ་,
,མེད་,དོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,–[168a.3],ཡང་,
,རྩོད་,དོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ང་,ཡོད་,
,མང་,ངོ་,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ངས་,ཡོན་,
,ཡིན་,ནོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ཡོན་,པོ་,
,ཤེས་,སོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ཡང་,དག་,
,མ་,ཡིན་,ཏེ,།,_,ཤ་,ཤཱ་,རིའི་,བུ་,ངས་,ཆོས་,
,མེད་,དོ,།,_,།,ཤ་,ཤཱ་,རིའི་,–[168b.3],བུ་,ཡང་,
,མེད་,དོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ཡང་,དག་,
,རུང་,ངོ་,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དེའི་,མིང་,
,བཅུག་,གོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དཔེར་,ན་,
,མི་,འདྲའོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དེ་,ལྟ་,
,མཚུངས་,སོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དེའི་,ནང་,
,_,།,སངས་,རྒྱས་,ཀྱིས་,ཤ་,ཤཱ་,རིའི་,བུ་,ལ་,བཀའ་,
,ཞེས་,བྱས་,ན,།,_,ཤ་,ཤཱ་,རིའི་,བུ་,ཚུལ་,ཁྲིམས་,
,མི་,དགའོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དེའི་,མིང་,
,སྲེལ་,ཏོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དེའི་,མིང་,
,ངོ་,།,_,།,ཡང་,ཤ་,ཤཱ་,རིའི་,བུ་,ཚུལ་,ཁྲིམས་,
,ཕོད་,དོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དེ་,ལྟ་,
,ངོ་,།,_,།,ཡང་,ཤ་,ཤཱ་,རིའི་,བུ་,ཚུལ་,ཁྲིམས་,
